406-swift-basmt,AIR-CAP3502E-A-K9,28:94:0f:c9:0a:c6,Swift,US,10.140.15.74,3
406-swift-prayer-rm,AIR-CAP3502E-A-K9,2c:54:2d:0d:e1:0a,406-swift,US,10.140.15.72,4
408-swift-basement,AIR-CAP3502I-A-K9,c4:64:13:38:c0:ec,default,location,US,10.140.11.57
410-swift-basement,AIR-CAP3502I-A-K9,c4:64:13:38:bb:b9,default,location,US,10.140.11.56
410-swift-outhouse-w,AIR-CAP3502E-A-K9,2c:54:2d:a4:19:25,default,location,US,10.140.11.54
615chapeldr-constr-trailer,AIR-LAP1262N-A-K9,58:8d:09:95:45:57,615,Chapel,Drive,US
700main-100-14-c,AIR-CAP3702I-A-K9,00:42:68:90:ec:d8,700,main,US,10.140.80.80
700main-100-5-c,AIR-CAP3702I-A-K9,00:fe:c8:07:aa:c4,700,main,US,10.140.80.79
700main-112-h-c,AIR-CAP3702I-A-K9,00:42:68:87:ca:8c,700main,US,10.140.80.118,8
700main-113-c,AIR-CAP3702I-A-K9,00:42:68:87:cb:e8,700main,US,10.140.80.82,2
700main-211-bookshelf,AIR-CAP3702I-A-K9,58:ac:78:3f:57:c4,700,main,US,10.140.80.98
700main-215-desk,AIR-CAP3702I-A-K9,00:42:68:af:65:f4,700,main,US,10.140.80.105
700main-lost,AIR-CAP3502I-A-K9,c4:64:13:38:bb:6f,default,location,US,10.140.80.90
705-broad-011a-h-c,AIR-CAP3702I-A-K9,00:42:68:83:61:68,Broad,US,10.140.2.92,9
705-broad-011e-h-c,AIR-CAP3702I-A-K9,00:42:68:95:bc:00,Broad,US,10.140.2.86,4
705-broad-012-c,AIR-CAP3702I-A-K9,00:42:68:95:bb:10,Broad,US,10.140.2.95,0
705-broad-01a-h-c,AIR-CAP3702I-A-K9,00:42:68:95:bd:e8,Broad,US,10.140.2.84,5
705-broad-01-c,AIR-CAP3702I-A-K9,00:42:68:87:ca:04,Broad,US,10.140.2.83,10
705-broad-01h-h-c,AIR-CAP3702I-A-K9,00:42:68:af:64:a0,default,location,US,10.140.2.101
705-broad-03-h-c,AIR-CAP3702I-A-K9,00:42:68:95:bd:d0,Broad,US,10.140.2.91,6
705-broad-100-c,AIR-CAP3702I-A-K9,00:42:68:83:60:68,Broad,US,10.140.2.85,3
705-broad-109-h-c,AIR-CAP3702I-A-K9,00:42:68:87:c7:5c,Broad,US,10.140.2.82,3
705-broad-114-h-c,AIR-CAP3702I-A-K9,00:42:68:a1:12:20,Broad,US,10.140.2.77,4
705-broad-117-h-c,AIR-CAP3702I-A-K9,00:42:68:95:ba:c4,Broad,US,10.140.2.89,5
705-broad-119d-h-c,AIR-CAP3702I-A-K9,00:42:68:a1:15:70,Broad,US,10.140.2.75,4
705-broad-119-h-c,AIR-CAP3702I-A-K9,00:42:68:8d:aa:14,Broad,US,10.140.2.80,7
705-broad-120a-h-c,AIR-CAP3702I-A-K9,00:42:68:83:5f:84,Broad,US,10.140.2.118,5
705-broad-129-h-c,AIR-CAP3702I-A-K9,00:42:68:8d:aa:80,Broad,US,10.140.2.76,5
705-broad-201-c,AIR-CAP3702I-A-K9,cc:46:d6:3d:cb:60,Broad,US,10.140.2.122,5
705-broad-202-c,AIR-CAP3702I-A-K9,00:42:68:83:5f:8c,705,broad,street,US
705-broad-202f-h-c,AIR-CAP3702I-A-K9,00:42:68:a1:12:80,Broad,US,10.140.2.88,4
705-broad-203-h-c,AIR-CAP3702I-A-K9,00:42:68:a1:12:c0,Broad,US,10.140.2.78,1
705-broad-204-h-c,AIR-CAP3702I-A-K9,cc:46:d6:37:e1:7c,Broad,US,10.140.2.110,5
7107-dorisduke-106-w,AIR-CAP3602E-A-K9,7c:ad:74:28:50:c7,default,location,US,10.140.18.4
7107-dorisduke-119-w,AIR-CAP3502E-A-K9,2c:54:2d:12:fa:7e,default,location,US,10.140.18.58
7107-dorisduke-copyroom-w,AIR-CAP3502E-A-K9,2c:54:2d:0d:f2:2c,default,location,US,10.140.18.14
7107-dorisduke-eventhall-1-w,AIR-CAP3602E-A-K9,7c:ad:74:50:24:aa,default,location,US,10.140.18.10
7107-dorisduke-giftshop-o-w,AIR-CAP3602E-A-K9,7c:ad:74:18:a6:27,default,location,US,10.140.18.5
7115-giles-202-w,AIR-AP1810W-B-K9,00:5f:86:98:4d:e8,giles,US,10.140.45.180,1
7144-302-anderson-telcom-rm,AIR-CAP3502E-A-K9,2c:54:2d:12:fa:8f,304,Anderson,US,10.140.100.249
7148-221-anderson-aptk-w,AIR-CAP3602E-A-K9,7c:ad:74:84:ff:26,Anderson,US,10.140.78.89,0
7149-221-anderson-apta-w,AIR-CAP3702E-A-K9,00:f2:8b:8e:92:c4,Anderson,US,10.140.78.80,0
7149-221-anderson-aptc-w,AIR-CAP3502E-A-K9,2c:54:2d:9d:f6:0c,crowell,US,10.140.78.73,0
7149-221-anderson-apth-w,AIR-CAP3702P-A-K9,fc:5b:39:f7:27:e8,Anderson,US,10.140.78.87,0
7149-221-anderson-aptj-w,AIR-CAP3602E-A-K9,7c:ad:74:84:ff:5a,Anderson,US,10.140.78.69,0
7150-218alexander-aptd-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:d8:b4,218,Alexander,US,10.140.101.94
7150-218alexander-e-w,AIR-CAP3602E-A-K9,7c:ad:74:28:4d:3c,218,Alexander,US,10.140.101.62
7152-221-anderson-aptf-w,AIR-CAP3702E-A-K9,00:f2:8b:a9:5e:10,Anderson,US,10.140.78.70,0
7153-215alexander-lost,AIR-AP1810W-B-K9,00:eb:d5:10:2a:f0,default,location,US,10.140.98.164
7153-215alexander-telcom-rm,AIR-CAP3502E-A-K9,2c:54:2d:a4:2b:71,default,US,10.140.98.187,0
7154-205-oregon-apth-w,AIR-CAP3702E-A-K9,00:c1:64:a6:a5:5c,default,location,US,10.140.96.122
7154-205-oregon-aptk-w,AIR-CAP3702E-A-K9,00:c8:8b:e7:8c:fc,default,location,US,10.140.96.123
7154-205-oregon-lost,AIR-AP1810W-B-K9,00:eb:d5:10:21:98,default,location,US,10.140.96.121
7155-302-oregon-aptg-w,AIR-CAP3702E-A-K9,00:c1:64:82:b6:2c,default,location,US,10.140.97.182
7155-302-oregon-aptl-w,AIR-CAP3702E-A-K9,00:c8:8b:9c:45:fc,default,location,US,10.140.97.242
7155-302-oregon-tc-rm,AIR-CAP3702I-A-K9,00:42:68:a9:bb:8c,302,Oregon,US,10.140.97.156
7156-301-oregon-aptg-w,AIR-CAP3702E-A-K9,00:c8:8b:f6:5a:14,default,location,US,10.140.97.122
7157-1915-yearby-apta-w,AIR-CAP3702E-A-K9,00:c1:64:b4:0c:c4,default,location,US,10.140.103.12
7157-1915-yearby-aptc-w,AIR-CAP3702E-A-K9,00:c1:64:c3:be:b4,default,location,US,10.140.103.109
7157-1915-yearby-apte-w,AIR-CAP3502E-A-K9,2c:54:2d:8e:e3:c7,Central,Campus,US,10.140.103.11
7157-1915-yearby-apth-w,AIR-CAP3502E-A-K9,28:94:0f:c1:20:56,Central,Campus,US,10.140.103.43
7157-1915-yearby-aptk-w,AIR-CAP3702E-A-K9,00:c1:64:a6:a8:d8,default,location,US,10.140.103.52
7157-1915-yearby-aptl-w,AIR-CAP3602E-A-K9,7c:ad:74:84:ff:d5,cameron,US,10.140.103.69,0
7158-1911yearby-aptd-w,AIR-CAP3502E-A-K9,2c:54:2d:9d:f9:43,Wanna,Maker,US,10.140.103.103
7158-1911yearby-apte-w,AIR-CAP3702E-A-K9,00:c1:64:db:77:fc,default,location,US,10.140.103.96
7158-1911yearby-aptg-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bc:24,default,location,US,10.140.103.108
7158-1911yearby-apti-w,AIR-CAP3502E-A-K9,2c:54:2d:13:20:c6,default,US,10.140.103.64,0
7159-221-anderson-aptb-w,AIR-CAP3702E-A-K9,00:f2:8b:98:ce:6c,Anderson,US,10.140.78.85,0
7159-221-anderson-aptd-w,AIR-CAP3702E-A-K9,00:f2:8b:c0:f0:80,Anderson,US,10.140.78.76,0
7159-221-anderson-aptg-w,AIR-CAP3702E-A-K9,00:f2:8b:8e:92:d4,Anderson,US,10.140.78.75,0
7159-221-anderson-apti-w,AIR-CAP3702E-A-K9,00:f2:8b:df:a6:68,Anderson,US,10.140.78.86,1
7159-221-anderson-aptl-w,AIR-CAP3702E-A-K9,00:f2:8b:a9:5e:40,Anderson,US,10.140.78.72,0
7159-301-oregon-apt-c,AIR-CAP3502E-A-K9,2c:54:2d:a4:2a:63,oregon,US,10.140.97.4,0
7159-301-oregon-aptl-w,AIR-CAP3502E-A-K9,2c:54:2d:a4:2c:b7,Oregon,US,10.140.97.123,0
715-broad-adf-closet,AIR-CAP3702I-A-K9,00:42:68:83:61:b8,715,broad,st,adf
7160-1905-erwin-apte-w,AIR-CAP3702E-A-K9,00:c1:64:e2:0f:3c,default,location,US,10.140.103.221
7160-1905-erwin-aptg-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bf:bc,default,location,US,10.140.103.220
7160-1905-erwin-apti-w,AIR-CAP3702E-A-K9,00:c1:64:b4:0c:e8,default,location,US,10.140.103.222
7161-1901-erwin-aptd-w,AIR-CAP3502E-A-K9,2c:54:2d:a4:2a:02,Central,Campus,US,10.140.103.212
7161-1901-erwin-apte-w,AIR-CAP3702E-A-K9,00:c1:64:82:b5:f8,default,location,US,10.140.103.183
7161-1901-erwin-aptg-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bd:20,default,location,US,10.140.103.224
7161-1901-erwin-apti-w,AIR-CAP3702E-A-K9,00:c1:64:a6:99:30,default,location,US,10.140.103.175
7162-2011-yearby-apta-w,AIR-CAP3702E-A-K9,00:c1:64:d8:66:f4,default,location,US,10.140.100.245
7162-2011-yearby-aptc-w,AIR-CAP3702E-A-K9,00:c1:64:e2:0e:20,default,location,US,10.140.100.246
7162-2011-yearby-aptj-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bd:c4,default,location,US,10.140.100.244
7162-2011-yearby-aptl-w,AIR-CAP3702E-A-K9,00:c1:64:f5:65:d8,default,location,US,10.140.100.191
7162-2011-yearby-apts-w,AIR-CAP3502E-A-K9,c4:64:13:00:24:cc,2011,Yearby,US,10.140.100.189
7163-2015-yearby-apta-w,AIR-CAP3702E-A-K9,00:c1:64:c3:ba:80,default,location,US,10.140.102.169
7163-2015-yearby-aptc-w,AIR-CAP3702E-A-K9,00:c1:64:82:b4:50,default,location,US,10.140.102.176
7163-2015-yearby-aptj-w,AIR-CAP3602E-A-K9,7c:ad:74:50:23:4c,2015,Yearby,US,10.140.102.146
7163-2015-yearby-aptl-w,AIR-CAP3702E-A-K9,00:c1:64:db:78:04,default,location,US,10.140.102.223
7163-2015-yearby-apt-t,AIR-CAP3502E-A-K9,2c:54:2d:a4:18:1b,default,US,10.140.102.143,0
7163-2015-yearby-telcom-rm,AIR-CAP3502E-A-K9,64:9e:f3:0e:c9:a5,2015,Yearby,US,10.140.102.229
7164-1914-lewis-aptb-w,AIR-CAP3702E-A-K9,00:c1:64:db:78:c8,default,location,US,10.140.102.226
7164-1914-lewis-aptd-w,AIR-CAP3702E-A-K9,00:c1:64:c3:be:b0,default,location,US,10.140.102.156
7164-1914-lewis-aptg-w,AIR-CAP3502E-A-K9,2c:54:2d:8e:f7:53,Central,Campus,US,10.140.102.171
7164-1914-lewis-aptk-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bf:a4,default,location,US,10.140.102.225
7164-1914-lewis-aptq-w,AIR-CAP3502E-A-K9,28:94:0f:a9:b8:a5,Central,Campus,US,10.140.102.172
7164-lewis-apti-w,AIR-CAP3702E-A-K9,00:c1:64:b4:0a:fc,default,location,US,10.140.102.200
7165-314-anderson-aptb-br-w,AIR-AP1810W-B-K9,00:eb:d5:10:0f:f0,default,location,US,10.140.100.54
7165-314-anderson-aptb-w,AIR-CAP3602E-A-K9,7c:ad:74:50:24:9c,default,location,US,10.140.100.123
7165-314-anderson-aptd-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:da:87,default,location,US,10.140.100.12
7165-314-anderson-apte-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:d9:58,default,location,US,10.140.100.111
7165-314-anderson-aptg-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:d8:cf,default,location,US,10.140.100.116
7165-314-anderson-aptj-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:db:9e,default,location,US,10.145.16.149
7165-314-anderson-aptl-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:da:df,default,location,US,10.140.100.32
7165-314-anderson-aptn-w,AIR-CAP3602E-A-K9,7c:ad:74:50:2b:34,default,location,US,10.140.100.63
7165-314-anderson-aptp-w,AIR-CAP3602E-A-K9,7c:ad:74:50:24:8e,default,location,US,10.140.100.4
7165-314-anderson-aptq-w,AIR-CAP3602E-A-K9,7c:ad:74:84:fe:de,default,location,US,10.140.100.7
7165-314-anderson-apts-w,AIR-CAP3602E-A-K9,7c:ad:74:84:fe:b2,default,location,US,10.140.100.121
7165-314-anderson-aptv-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:da:45,default,location,US,10.140.100.107
7165-314-anderson-aptx-w,AIR-CAP3602E-A-K9,7c:ad:74:28:59:e2,default,location,US,10.140.100.110
7166-312-anderson-aptc-w,AIR-CAP3702E-A-K9,00:c1:64:db:78:94,default,location,US,10.140.100.26
7166-312-anderson-aptj-w,AIR-CAP3502E-A-K9,2c:54:2d:9e:17:a7,312,Anderson,US,10.140.100.64
7166-312-anderson-aptl-w,AIR-CAP3702E-A-K9,00:c1:64:82:b8:b4,default,location,US,10.140.100.108
7166-312-anderson-aptp-w,AIR-CAP3602E-A-K9,7c:ad:74:50:2c:00,312,anderson,US,10.140.100.120
7166-312-anderson-aptu-w,AIR-CAP3502E-A-K9,2c:54:2d:a4:2a:72,default,US,10.140.100.11,0
7166-312-anderson-a-w,AIR-CAP3702E-A-K9,00:c1:64:e2:0f:80,default,location,US,10.140.100.109
7167-220alexander-apt-a,AIR-CAP702W-A-K9,04:6c:9d:ac:64:78,220,Alexander,US,10.140.104.120
7167-220alexander-apt-b,AIR-CAP702W-A-K9,04:6c:9d:ac:64:88,220,Alexander,US,10.140.104.121
7167-220alexander-aptc-w,AIR-CAP3502E-A-K9,2c:54:2d:9d:f7:0a,crowell,US,10.140.104.4,0
7167-220alexander-apth-w,AIR-CAP3502E-A-K9,2c:54:2d:9e:19:d1,220,Alexander,US,10.140.104.117
7167-220alexander-aptm-w,AIR-CAP3502E-A-K9,2c:54:2d:13:21:2c,220,Alexander,US,10.140.104.81
7167-220-alexander-aptv-w,AIR-CAP3702E-A-K9,00:c1:64:82:b3:64,default,location,US,10.140.104.20
7167-220-alexander-aptx-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bf:4c,default,location,US,10.140.104.114
7171-1700-pace-aptc-w,AIR-CAP3702E-A-K9,00:c8:8b:c4:33:54,default,location,US,10.140.98.52
7171-1700-pace-aptl-q,AIR-CAP3502E-A-K9,28:94:0f:c9:0b:33,1700,Pace,US,10.140.98.117
7171-1700-pace-aptl-w,AIR-CAP3702E-A-K9,00:c8:8b:e4:e1:ec,default,location,US,10.140.98.54
7171-1700-pace-aptp-w,AIR-CAP3702E-A-K9,00:c1:64:82:b8:80,default,location,US,10.140.98.53
7171-1700-pace-aptw-w,AIR-CAP3702E-A-K9,00:c1:64:82:b6:ac,default,location,US,10.140.98.45
7171-1708-pace-apta-w,AIR-CAP3702E-A-K9,00:c1:64:db:77:d4,default,location,US,10.140.98.171
7171-1708-pace-aptd-w,AIR-CAP3502E-A-K9,2c:54:2d:9e:17:b2,crowell,US,10.140.98.142,0
7171-1708-pace-aptj-w,AIR-CAP3702E-A-K9,00:c1:64:d8:54:44,default,location,US,10.140.98.170
7171-1708-pace-aptn-w,AIR-CAP3702E-A-K9,00:c1:64:e2:0a:c0,default,location,US,10.140.98.169
7171-1708-pace-aptq-w,AIR-CAP3502E-A-K9,2c:54:2d:8e:f7:c9,crowell,US,10.140.98.144,0
7171-1708-pace-aptt-w,AIR-CAP3602E-A-K9,7c:ad:74:fb:da:9a,default,location,US,10.140.98.189
7171-1708-pace-aptu-w,AIR-CAP3702E-A-K9,00:c8:8b:df:e4:c4,default,location,US,10.140.98.153
7171-1712-pace-apta-w,AIR-CAP3702E-A-K9,00:c1:64:b4:0f:98,default,location,US,10.140.98.167
7171-1712-pace-aptc-w,AIR-CAP3702E-A-K9,00:c1:64:a6:96:88,default,location,US,10.140.98.147
7171-1712-pace-aptj-w,AIR-CAP3702E-A-K9,00:c1:64:d8:68:a0,default,location,US,10.140.98.239
7171-1712-pace-aptl-w,AIR-CAP3702E-A-K9,00:c8:8b:df:e5:5c,default,location,US,10.140.98.145
7172-215-anderson-apta-w,AIR-CAP3702E-A-K9,00:c1:64:a6:97:98,default,location,US,10.140.78.83
7172-215-anderson-aptb-h-w,AIR-CAP3502E-A-K9,2c:54:2d:0d:f2:9a,central,US,10.140.78.91,2
7172-215-anderson-aptg-w,AIR-CAP3702E-A-K9,00:c1:64:e2:0e:24,default,location,US,10.140.78.71
7173-209-anderson-apta-w,AIR-CAP3702E-A-K9,00:c8:8b:df:e5:34,default,location,US,10.148.29.184
7173-209-anderson-aptg-w,AIR-CAP3702E-A-K9,00:c8:8b:d7:81:04,default,location,US,10.140.101.211
7174-1913-erwin-aptb-w,AIR-CAP3702E-A-K9,00:c1:64:f5:66:7c,default,location,US,10.140.101.238
7174-1913-erwin-apth-w,AIR-CAP3702E-A-K9,00:c1:64:c3:bc:60,default,location,US,10.140.101.182
7177-1915-erwin-apta-w,AIR-CAP3702E-A-K9,00:c1:64:d8:54:58,default,location,US,10.140.101.139
7177-1915-erwin-aptc-w,AIR-CAP3702E-A-K9,00:c1:64:b4:0c:98,default,location,US,10.140.101.245
7177-1915-erwin-aptk-w,AIR-CAP3702E-A-K9,00:c1:64:a6:a6:8c,default,location,US,10.140.101.133
7178-1911Erwin-aptd-w,AIR-CAP3502E-A-K9,2c:54:2d:0a:13:a7,Central,Campus,US,10.140.101.237
7178-1911erwin-apte-w,AIR-CAP3602E-A-K9,bc:16:65:16:50:2d,1911,Erwin,US,10.140.101.195
7178-1911erwin-aptg-w,AIR-CAP3602E-A-K9,7c:ad:74:28:4f:d9,default,location,US,10.140.101.240
7178-1911erwin-apti-w,AIR-CAP3602E-A-K9,7c:ad:74:84:ff:2f,default,location,US,10.140.101.162
7179-1909-yearby-apt-e-w,AIR-CAP3702E-A-K9,00:c1:64:a6:98:d0,default,location,US,10.140.101.119
7179-1909-yearby-apth-w,AIR-CAP3702E-A-K9,00:c1:64:a6:95:6c,default,location,US,10.140.101.115
7180-1907-erwin-apta-w,AIR-CAP3702E-A-K9,00:c1:64:d8:53:74,default,location,US,10.140.103.225
7180-1907-erwin-aptg-w,AIR-CAP3702E-A-K9,00:c1:64:a6:a5:98,default,location,US,10.140.103.207
7184-217anderson-rc-office-h-c,AIR-CAP3502E-A-K9,2c:54:2d:a4:2c:8a,crowell,US,10.140.78.79,3
7184-217anderson-telcom-rm,AIR-CAP3702I-A-K9,00:42:68:a1:17:0c,Central,Campus,US,10.140.78.88
7194-arts-002mr-c,AIR-AP2802I-B-K9,2c:5a:0f:d6:08:ec,arts,US,10.140.3.116,0
7194-arts-008str-c,AIR-AP2802I-B-K9,2c:5a:0f:a6:67:ac,arts,US,10.140.3.103,0
7194-arts-014mr-c,AIR-AP2802I-B-K9,00:c8:8b:6a:25:5a,arts,US,10.140.3.85,0
7194-arts-015mr-c,AIR-AP2802I-B-K9,00:f6:63:13:a2:dc,arts,US,10.140.3.9,0
7194-arts-100-lob-c-4,AIR-AP2802I-B-K9,00:2c:c8:99:9a:8e,arts,US,10.140.3.78,1
7194-arts-101ba-c,AIR-AP2802I-B-K9,2c:5a:0f:a6:68:be,arts,US,10.140.3.70,1
7194-arts-101-c,AIR-AP2802I-B-K9,2c:5a:0f:d6:07:f0,arts,US,10.140.3.16,2
7194-arts-101-h-c,AIR-AP2802I-B-K9,2c:5a:0f:a6:67:fe,arts,US,10.140.3.71,0
7194-arts-102-c,AIR-AP2802I-B-K9,00:2c:c8:99:97:22,arts,US,10.140.3.50,0
7194-arts-102-h-c,AIR-AP2802I-B-K9,2c:5a:0f:ed:19:0c,arts,US,10.140.3.81,0
7194-arts-105-c-1,AIR-AP2802I-B-K9,2c:5a:0f:ed:21:76,arts,US,10.140.3.23,0
7194-arts-105-c-2,AIR-AP2802I-B-K9,00:2c:c8:99:a1:b2,arts,US,10.140.3.120,0
7194-arts-105-c-3,AIR-AP2802I-B-K9,00:c8:8b:6a:25:c2,arts,US,10.140.3.119,0
7194-arts-105-c-4,AIR-AP2802I-B-K9,2c:5a:0f:a6:68:fa,arts,US,10.140.3.46,0
7194-arts-114-h-c,AIR-AP2802I-B-K9,00:f6:63:13:a2:36,arts,US,10.140.3.52,0
7194-arts-116-h-c,AIR-AP2802I-B-K9,2c:5a:0f:a6:68:74,arts,US,10.140.3.77,0
7194-arts-123-h-c,AIR-AP2802I-B-K9,00:f6:63:13:a1:44,arts,US,10.140.3.44,0
7194-arts-123-screen-w,AIR-AP2802E-B-K9,2c:5a:0f:a6:a0:de,arts,US,10.140.3.26,0
7194-arts-124-c-1,AIR-AP2802I-B-K9,00:f6:63:13:a2:ce,arts,US,10.140.3.89,0
