ap,rawX,rawY,transX,transY
ref1,512,197,200,-100
ref2,776,463,300,-200
7704-perkins-100-c-v09-3802i,573,748,,
7704-perkins-100-v20-3802i,566,602,,
7704-perkins-101glas-c-v21-3802i,669,586,,
7704-perkins-101glas-c-v22-3802i,748,637,,
7704-perkins-101glas-c-v23-3802i,843,588,,
7704-perkins-101-v01-3802i,926,389,,
7704-perkins-101-v02-3802i,779,380,,
7704-perkins-101-v03-3802i,644,380,,
7704-perkins-101-v10-3802i,579,322,,
7704-perkins-101-v11-3802i,704,325,,
7704-perkins-101-v12-3802i,855,327,,
7704-perkins-101-v14-3802i,642,223,,
7704-perkins-101-v15-3802i,762,220,,
7704-perkins-101-v16-3802i,927,234,,
7704-perkins-101-v17-3802i,586,107,,
7704-perkins-101-v18-3802i,721,114,,
7704-perkins-101-v19-3802i,855,116,,
7704-perkins-102-c-v06-3802i,598,487,,
7704-perkins-102-v07-3802i,669,401,,
7704-perkins-102-v08-3802i,841,492,,
7704-perkins-105-v05-3802i,498,468,,
7704-perkins-106-v04-3802i,433,382,,
7704-perkins-109-c-v13-3802i,510,239,,
7704-per-rub-140a-c,522,635,,
7704-per-rub-140b-c,445,549,,
7704-per-rub-149-1-h,230,695,,
7704-per-rub-149-2-h,158,698,,
7704-per-rub-150-c,195,764,,
7704-per-rub-151-c,239,774,,
7704-per-rub-153-1-c,334,762,,
7704-per-rub-153-2-c,404,762,,
7704-per-rub-170-1-c-w,191,609,,
7704-per-rub-170-2-c-w,286,610,,
7704-per-rub-171-1-c,218,519,,
7704-per-rub-171-2-c,250,473,,
7704-per-rub-171-3-c,193,473,,
7704-per-rub-175-1-c,309,517,,
7704-per-rub-175-2-c,352,515,,
7704-per-rub-175-3-c,288,463,,
7704-per-rub-175-4-c,332,463,,
7704-per-rub-175-5-c,383,463,,
7704-per-rub-180a-h,96,470,,
7704-per-rub-181-c,125,549,,
7704-per-rub-191-1-c,246,366,,
7704-per-rub-191-2-c,350,366,,
7704-per-rub-191b-h,205,357,,
7704-per-rub-192-h,63,378,,
