ap,rawX,rawY,transX,transY
ref1,107,276,200,-100
ref2,522,689,300,-200
,1,587,,
,48,588,,
,50,160,,
,160,160,,
,160,48,,
,700,43,,
,704,160,,
,819,159,,
,819,489,,
,987,491,,
,990,578,,
,931,580,,
,933,738,,
,709,743,,
,705,817,,
,164,816,,
,160,702,,
,1,699,,
